,Country,CountryCode2,ISO-M49
218,"Tanzania, United Republic of",TZA,834
219,Thailand,THA,764
220,Timor-Leste,TLS,626
221,Togo,TGO,768
222,Tokelau,TKL,772
223,Tonga,TON,776
224,Trinidad and Tobago,TTO,780
225,Tunisia,TUN,788
226,Turkey,TUR,792
227,Turkmenistan,TKM,795
228,Turks and Caicos Islands,TCA,796
229,Tuvalu,TUV,798
230,Uganda,UGA,800
231,Ukraine,UKR,804
232,United Arab Emirates,ARE,784
233,United Kingdom,GBR,826
234,United States of America,USA,840
235,US Minor Outlying Islands,UMI,581
236,Uruguay,URY,858
237,Uzbekistan,UZB,860
238,Vanuatu,VUT,548
239,Venezuela (Bolivarian Republic),VEN,862
240,Viet Nam,VNM,704
241,"Virgin Islands, US",VIR,850
242,Wallis and Futuna Islands,WLF,876
243,Western Sahara,ESH,732
244,Yemen,YEM,887
245,Zambia,ZMB,894
246,Zimbabwe,ZWE,716
